隐患点名称	隐患点编号	经度	维度	设备名称	设备编号	时间	采集值x	采集值y	采集值z
长寨社区市布鞋厂宿舍楼后滑坡	4.31271E+11	110.053954	27.206011	视频01	4312710100110101	nan	nan	nan	nan
长寨社区市布鞋厂宿舍楼后滑坡	4.31271E+11	110.053954	27.206011	LX1-2表面裂缝表面裂缝监测1	431271010011010101	2022-03-09 09:34:31+08	0.2528	0	0
